$celg   2 of the largest biotech stocks   reported    earnings
$clx    clorox  beats   estimize revenue 
$clx    clorox  misses  estimize eps 
$crm    salesforce  grew    application infrastructure middleware revenue
$cvs    cvs health stock    rises   -
$cvs    cvs health earnings  beat estimates
$cvs    cvs health q1 eps   beats by    -
$cvs    cvs health q1 revenue   misses by   -
$cvs    $cvs    reported   q1 results
$cvs    $cvs    reported   earnings for q1
$cvs    cvs store    saved   workers
$cvx    chevron's results   beat    expectations
$cvx    $cvx    issues  earnings results
$cvx    chevron beats   revenue
$cvx    chevron beats   expectations
$cvx    falling oil prices  hit chevron's bottom-line
$cvx    $cvx    reported    earnings for q1
$f  ford    continues   f-series capacity ramp-up
$f  ford april total vehicle sales  misses  estimates
$gild   gilead sciences beat    earnings estimates
$gild   2 of the largest biotech stocks   reported    earnings
$mco    moody's beats   q1 earnings
$mco    moody's beats   revenues estimates
$mco    moody's earnings    beats   estimates
$mco    moody's beats   revenue
$nwl    newell rubbermaid   issues  quarterly earnings
$nwl    newell rubbermaid   beats   estimates
$nwl    newell rubbermaid   beats   eps
$pnw    pinnacle west capital   releases    earnings results
$pnw    pinnacle west capital   misses  estimates
$pnw    pinnacle west capital   announces   earnings
